Date,Ventilators - Total Capacity,Ventilators in Use - Total,Ventilators in Use - COVID-19,Ventilators in Use - COVID-19 Patients,Ventilators in Use - COVID-19 PUI,Ventilators in Use - Non-COVID-19,Ventilators Available - Total,Ventilators Available - Hospital,Ventilators Available - EAMC Cache,Ventilator Surge Capacity,ICU Beds - Total Capacity,ICU Beds - Adult,ICU Beds - Pediatric,ICU Beds in Use - Total,ICU Beds in Use - COVID-19,ICU Beds in Use - COVID-19 Patients,ICU Beds in Use - COVID-19 PUI,ICU Beds in Use - Non-COVID-19,ICU Beds Available - Total,ICU Beds Available - Adult,ICU Beds Available - Pediatric,ICU Beds Surge Capacity - Adult,ICU Beds Surge Capacity - Pediatric,Acute Non-ICE Beds - Total Capacity,Acute Non-ICU Beds in Use - Total,Acute Non-ICU Beds in Use - COVID-19,Acute Non-ICU Beds in Use - COVID-19 Patients,Acute Non-ICU Beds in Use - COVID-19 PUI,Acute Non-ICU Beds in Use- Non-COVID-19,Acute Non-ICU Beds Available - Total,Combined Hospital Beds in Use - COVID-19,Daily Update PDF
07/01/2020,2186,646,91,73,18,555,1540,1490,50,,1340,1169,171,834,131,93,38,703,506,460,46,,,8085,5407,402,187,215,5005,2678,533,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.02_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/02/2020,2185,664,75,62,13,589,1521,1471,50,,1343,1172,171,840,120,85,35,720,503,457,46,,,8085,5568,378,183,195,5190,2517,498,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.03_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/03/2020,2190,669,67,49,18,602,1521,1471,50,,1343,1172,171,821,115,78,37,706,522,453,69,,,8085,5413,380,168,212,5033,2672,495,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.04_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/25/2020,1990,553,35,25,10,518,1437,1387,50,,1274,1103,171,769,107,60,47,662,505,457,48,,,8055,5483,332,136,196,5151,2572,439,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.26_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/26/2020,1990,598,42,24,18,556,1392,1342,50,,1274,1103,171,787,111,64,47,676,487,444,43,,,8055,5408,350,137,213,5058,2647,461,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.27_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/27/2020,1990,551,39,27,12,512,1439,1389,50,,1274,1103,171,745,98,65,33,647,529,477,52,,,8060,5555,348,143,205,5207,2505,446,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.28_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/28/2020,1999,553,52,33,19,501,1446,1396,50,,1268,1097,171,726,108,66,42,618,542,474,68,,,8060,5656,370,144,226,5286,2404,478,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.29_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/29/2020,2011,513,44,28,16,469,1498,1448,50,,1268,1097,171,761,105,64,41,656,507,443,64,,,8060,5506,333,145,188,5173,2554,438,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.30_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/30/2020,2009,538,50,33,17,488,1471,1421,50,,1268,1097,171,798,115,67,48,683,470,402,68,,,8075,5659,329,142,187,5330,2416,444,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.31_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
07/31/2020,2001,518,50,37,13,468,1483,1433,50,,1268,1097,171,777,99,68,31,678,491,446,45,,,8075,5680,322,157,165,5358,2395,421,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.07.32_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/01/2020,2001,619,37,29,8,582,1382,1332,50,,1268,1097,171,764,100,70,30,664,504,432,72,,,8075,5761,304,134,170,5457,2314,404,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.02_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/02/2020,2000,568,45,31,14,523,1432,1382,50,,1268,1097,171,722,101,64,37,621,546,463,83,,,8095,5536,309,140,169,5227,2559,410,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.03_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/05/2020,1995,546,39,22,17,507,1449,1399,50,,1274,1103,171,744,94,56,38,650,530,460,70,,,8099,5688,344,155,189,5344,2411,438,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.06_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/06/2020,2005,575,42,29,13,533,1430,1380,50,,1274,1103,171,792,93,59,34,699,482,429,53,,,8099,5802,353,154,199,5449,2297,446,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.07_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/07/2020,2000,546,35,26,9,511,1454,1404,50,,1274,1103,171,776,94,55,39,682,498,426,72,,,8099,5574,377,143,234,5197,2525,471,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.08_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
08/08/2020,2012,637,28,22,6,609,1375,1325,50,,1274,1103,171,789,92,54,38,697,485,437,48,,,8099,5801,357,123,234,5444,2298,449,https://www.chicago.gov/content/dam/city/sites/covid/reports/hospital-capacity/2020.08.09_COVID-19_ICU_Vent_Capacity_Daily_Report.pdf
